"","ADM1_CODE","year","value","upper","lower"
"85",16050,2000,7.02407209738381,8.37685287408448,5.68366501476498
"86",16066,2000,7.69618385554515,8.84254711592728,6.61981350618893
"87",16176,2000,9.06075926920661,10.2377660239873,7.82096852664478
"88",16239,2000,9.39286970084817,10.2114527362528,8.51313124764083
"89",17050,2000,6.93654326467879,7.8917261859835,5.89074702737951
"90",17066,2000,7.00623074081495,8.0342686494466,5.96618854105132
"91",17176,2000,7.13754222359347,7.80959064375005,6.43527586363044
"92",17239,2000,9.23411651018371,10.0767412576192,8.37905748458514
"93",18050,2000,6.33131756815234,7.3490016331146,5.31583525021294
"94",18066,2000,7.75919961741786,8.93114325339009,6.51774340025434
"95",18176,2000,7.04255821525016,8.15017745769057,5.98528031190543
"96",18239,2000,9.71619609807582,10.7588932229951,8.70210226623114
